event,alerts_total
Special Weather,103051
Flood Warning,97116
Severe Thunderstorm,81739
Severe Weather,51377
Winter Weather,30520
Flood Advisory,29729
Flash Flood,25235
Winter Storm,15268
Wind Advisory,14821
Dense Fog,10678
Heat Advisory,9628
Wind Chill,9441
Tornado Warning,7922
Flood Watch,6361
Coastal Flood,6041
Excessive Heat,5504
High Wind,5406
Beach Hazards,3597
Rip Current,3400
Freeze Warning,3374
Tornado Watch,3316
Frost Advisory,2626
Red Flag,2224
High Surf,1946
Lakeshore Flood,1905
Blizzard Warning,1697
Hurricane Local,1469
Lake Wind,1402
Tropical Storm,1041
Fire Weather,932
Flood Statement,817
Freeze Watch,801
Snow Squall,709
Storm Surge,498
Freezing Fog,396
Ice Storm,313
Dust Advisory,298
Hurricane Warning,288
Dust Storm,268
Hard Freeze,234
Air Stagnation,201
Hurricane Watch,168
Dense Smoke,104
Blowing Dust,45
Tsunami Warning,3
Ashfall Advisory,2
Extreme Cold,1
